Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
0C_0h_air_a_b1_f,17.24545,18.90297,29.51856,30.11055,22.96395,15.01624,16.30211,24.47225,8.570428,7.433627,8.291737,8.188215,7.603133,8.649576,6.764662,6.798759,
0C_0h_air_b_b1_f,16.36545,20.09303,27.07515,27.20165,21.14561,13.94988,13.35102,22.93891,7.817113,7.584353,5.83667,5.472432,7.771055,7.496089,6.55541,5.63079,
0C_0h_air_c_b1_f,14.80944,15.81132,24.00011,24.56097,20.52251,13.10408,14.78025,22.52271,8.417403,7.423897,8.368957,8.976946,10.11062,7.531111,8.023101,9.630399,
0C_0h_air_d_b1_f,14.07822,16.15917,22.86068,23.08507,17.71649,11.01243,11.92917,21.88489,8.35008,6.853817,7.181926,7.476088,6.87865,5.194573,5.861806,8.323349,
0C_48h_air_a_b1_f,16.09072,18.27837,25.36302,26.26762,20.3119,12.70051,14.26939,23.79079,8.276116,8.708306,6.388041,7.171543,6.304624,5.728063,7.947866,8.261779,
0C_48h_air_b_b1_f,13.40462,14.58078,21.5012,21.24395,16.78522,10.43652,11.74571,18.76725,8.302272,7.113773,7.482186,7.267693,7.014243,5.134682,5.760255,7.705392,
0C_48h_air_c_b1_f,14.01922,16.34792,23.04464,23.99802,19.08696,11.04083,12.61885,21.83171,7.860577,8.012899,6.50412,7.398314,11.11223,5.75712,6.08267,7.605427,
0C_48h_air_d_b1_f,14.84082,17.37702,23.97043,25.35143,20.21232,12.81741,13.51122,23.1699,7.958013,8.131795,6.697706,7.990658,7.469518,6.004024,7.011056,8.557855,
0C_96h_air_a_b1_f,16.13682,17.33769,28.46646,29.20105,23.15842,14.79593,16.50165,24.86959,8.723482,7.586111,7.789468,7.955971,7.128392,6.008764,6.807112,8.835174,
0C_96h_air_b_b1_f,13.22726,14.68838,20.54673,20.45682,15.56035,9.203231,10.17262,17.56232,8.01069,6.856258,5.9113,6.052793,5.755888,3.929779,4.886785,6.52563,
