Sample_ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,Group Label
0b_100p_c1_b1_a,13.30418,17.13894,20.13627,24.05184,27.77406,27.82927,31.98661,36.07747,40.2001,40.96824,41.90615,57.22602,71.98871,72.05915,71.82921,67.21396,66.46694,60.79524,2.055594,2.950278,3.423929,3.861137,4.044262,4.030779,4.237272,4.417204,4.359499,4.330311,4.386929,4.803359,5.554868,5.58888,5.692706,5.081326,5.139307,4.73156,0
0b_100p_c1_b1_b,12.53643,15.97541,18.71936,22.37202,26.10916,26.2142,30.41607,34.40415,38.48373,39.32127,40.24492,55.6326,71.12595,71.23978,70.99832,66.39629,65.57351,59.82179,1.93259,2.797134,3.26419,3.731456,4.085742,4.108131,4.347265,4.465793,4.332135,4.270987,4.293317,4.60625,5.358288,5.403528,5.519835,4.929806,4.975088,4.56272,0
0b_100p_c1_b1_c,11.96013,15.7065,18.64797,22.4275,25.5247,25.41389,29.4542,33.65498,38.01273,38.85616,39.86153,55.93444,71.03926,71.1538,70.92665,66.36636,65.58437,59.91879,1.757641,2.666421,3.167422,3.651095,3.911487,3.913072,4.15253,4.279185,4.187501,4.154068,4.180592,4.567983,5.395081,5.445931,5.528122,4.903513,4.938015,4.472109,0
0b_100p_c1_b1_d,13.41793,17.57868,20.75677,24.78424,28.20703,28.16007,32.30273,36.36522,40.42493,41.16324,42.0646,57.47276,71.96983,72.02933,71.75331,67.02372,66.25655,60.56374,2.30378,3.236724,3.745195,4.210772,4.325212,4.280494,4.47859,4.65756,4.589318,4.554679,4.60844,4.999882,5.676297,5.715863,5.82561,5.18267,5.235198,4.789273,0
0b_100p_c1_b1_e,12.61906,16.37952,19.31165,23.11891,26.52646,26.50193,30.56155,34.57002,38.63691,39.42772,40.35834,55.88158,71.23338,71.34212,71.11502,66.50481,65.7273,60.04782,2.002637,2.863014,3.327535,3.790764,4.141515,4.151802,4.390356,4.604815,4.593026,4.589248,4.653639,4.840269,5.281837,5.328476,5.422164,4.807855,4.855847,4.445525,0
100b_0p_c1_b1_a,6.858998,6.949905,7.47107,8.346735,9.393222,9.378581,11.2435,12.52175,14.51629,15.11183,15.36493,25.73207,46.02472,46.69635,47.10572,46.5857,46.29261,44.50908,0.8629642,1.094423,1.347737,1.748535,2.238231,2.280574,2.772258,3.197686,3.331796,3.324765,3.370512,4.299697,5.100925,5.096489,5.164231,4.730352,4.785266,4.55178,100
100b_0p_c1_b1_b,6.781351,6.523978,6.807191,7.329449,7.969793,7.935534,9.485622,10.50203,12.45445,13.10822,13.38617,23.40674,42.46383,43.16636,43.59297,43.46139,43.1638,41.6364,0.7530973,0.9055644,1.105147,1.430446,1.823767,1.852234,2.316085,2.82394,3.021252,3.011147,3.071317,4.405348,5.211283,5.176519,5.177568,4.678814,4.724628,4.43873,100
100b_0p_c1_b1_c,6.863168,6.74333,7.132643,7.789364,8.410634,8.331882,9.894382,11.00891,13.00974,13.65753,13.94931,24.37714,43.46126,44.11426,44.47037,44.14691,43.8379,42.16384,0.7344784,0.9688136,1.237544,1.653253,2.067262,2.079134,2.588908,3.12183,3.281206,3.244275,3.304988,4.414938,5.175973,5.120916,5.122916,4.619685,4.666916,4.354035,100
100b_0p_c1_b1_d,6.845212,6.902133,7.436897,8.321113,9.15366,9.05783,10.75815,12.04609,14.09677,14.69269,14.97395,25.67905,45.19116,45.7714,46.06883,45.52155,45.21617,43.40945,0.8162621,1.032657,1.286575,1.695112,2.100505,2.10774,2.565887,3.05197,3.224537,3.217838,3.278892,4.350408,5.017715,4.987098,5.0253,4.531676,4.564787,4.244575,100
100b_0p_c1_b1_e,6.792265,6.990712,7.653624,8.730577,9.69789,9.587512,11.49856,13.01906,15.16982,15.76496,16.05227,27.19418,47.27431,47.8153,48.10889,47.43523,47.17056,45.3724,0.7684401,0.9727635,1.205165,1.559714,1.902622,1.908508,2.269175,2.702266,2.894784,2.908885,2.979157,4.054551,4.411668,4.410936,4.459065,4.057835,4.103346,3.863389,100
20b_80p_c1_b1_a,8.654202,10.74158,12.68485,15.33197,17.47403,17.35606,20.64655,23.84044,27.3365,28.04718,28.757,43.80911,62.80106,63.17616,63.28847,60.24733,59.68715,55.47182,1.490491,2.443452,3.087255,3.82368,4.25898,4.220559,4.61708,5.070694,5.267352,5.238741,5.339499,5.793794,5.357971,5.364206,5.422652,4.807575,4.83443,4.374109,20
20b_80p_c1_b1_b,8.843187,10.6196,12.32545,14.7111,17.02681,17.03182,20.28434,23.22988,26.52666,27.22432,27.872,42.31124,61.66818,62.13645,62.33279,59.42374,58.83339,54.61492,1.446406,2.335444,2.91731,3.637522,4.269528,4.302236,4.811652,5.300353,5.506351,5.461936,5.547826,6.250881,5.885715,5.859434,5.871441,5.179494,5.203012,4.694895,20
20b_80p_c1_b1_c,8.633166,10.35287,12.06377,14.45804,16.58055,16.49945,19.61802,22.70865,26.2497,26.97075,27.67446,42.65121,61.23122,61.71462,61.91177,59.02388,58.41157,54.13854,1.312707,2.32824,2.985739,3.738356,4.259092,4.250774,4.763931,5.078581,4.980582,4.882834,4.923875,5.421804,5.438027,5.413517,5.452539,4.853534,4.904319,4.502651,20
20b_80p_c1_b1_d,9.177155,11.28601,13.18264,15.80107,18.23953,18.22409,21.49513,24.37802,27.45698,28.05606,28.64442,42.88949,62.10975,62.54963,62.73868,59.86435,59.32191,55.22001,1.379483,2.227646,2.75725,3.384162,3.916339,3.938233,4.329675,4.723015,4.862017,4.822806,4.896388,5.345267,5.039373,5.041342,5.085579,4.521651,4.556573,4.163546,20
20b_80p_c1_b1_e,9.665059,11.9705,13.98095,16.74239,19.40948,19.42291,22.82933,25.77263,28.8413,29.44989,30.03812,43.95998,62.72068,63.13888,63.30279,60.3118,59.76179,55.58844,1.562398,2.497155,3.080664,3.756316,4.31969,4.332901,4.776202,5.183447,5.288293,5.242298,5.322221,5.849748,5.42497,5.416808,5.458897,4.823112,4.845007,4.374383,20
