Sample_ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,Group Label
0b_100p_c2_b1_a,12.88719,16.10204,18.34384,21.11078,25.32706,26.22443,33.58363,38.19281,43.00868,44.39983,45.60959,59.29987,73.6507,73.82552,73.72854,69.02637,68.19331,62.53024,3.128145,5.061417,6.177629,7.39122,7.824199,7.602094,7.394721,7.637446,7.05115,6.647909,6.616354,6.956356,6.82155,6.844629,6.943635,6.182563,6.218993,5.634406,0
0b_100p_c2_b1_b,13.89884,17.57956,20.18407,23.32724,27.23133,27.84566,34.37186,38.96061,43.76352,45.0838,46.29374,60.07813,73.72945,73.87002,73.76033,69.03616,68.20114,62.5094,3.684989,5.832016,7.107934,8.494819,8.980545,8.728203,8.597633,8.969982,8.342205,7.841644,7.822496,8.090835,6.97678,6.945448,7.037621,6.197739,6.215431,5.567388,0
0b_100p_c2_b1_c,12.87722,16.15546,18.55315,21.51677,25.56645,26.30095,33.02906,37.62846,42.6417,44.09538,45.32528,59.1249,73.55586,73.73058,73.64795,68.98955,68.14317,62.48683,3.58256,5.694168,6.965117,8.356043,8.892397,8.652264,8.503955,8.868957,8.282007,7.823059,7.78107,8.049038,7.363002,7.368823,7.464333,6.677426,6.745592,6.166794,0
0b_100p_c2_b1_d,13.68808,17.13922,19.65198,22.76818,26.83621,27.5147,33.91799,38.38446,43.14885,44.47414,45.60443,59.01685,73.05486,73.21357,73.10439,68.41633,67.59785,61.91769,3.764621,5.835713,7.099952,8.555963,9.19431,8.974106,8.903042,9.342027,8.812613,8.326845,8.3279,8.796469,8.258974,8.247951,8.352221,7.454665,7.494334,6.863675,0
0b_100p_c2_b1_e,14.2948,17.82288,20.37117,23.45584,27.13776,27.68933,33.58111,37.83268,42.57866,44.01403,45.19925,58.41433,73.24877,73.51728,73.52818,68.96415,68.13246,62.47454,4.768255,7.323436,8.858668,10.56999,11.2256,10.93261,10.72834,11.22508,10.45769,9.752194,9.680568,9.940311,7.585219,7.514861,7.55212,6.70326,6.741518,6.143567,0
100b_0p_c2_b1_a,6.701293,7.093458,7.890528,9.072773,10.25917,10.26263,12.81833,14.64953,17.19736,18.18993,18.75553,30.25018,50.09884,50.83828,51.51683,50.9155,50.59122,48.89193,0.9924279,1.417359,1.858819,2.508996,2.943786,2.890676,3.39761,4.08532,4.274245,4.267787,4.403707,6.218361,6.877409,6.858454,6.978211,6.452833,6.527662,6.244031,100
100b_0p_c2_b1_b,6.777612,7.258021,8.13886,9.432465,10.54022,10.47637,12.9499,14.84724,17.34958,18.28217,18.83814,30.67795,50.30052,50.95371,51.53387,50.83141,50.49918,48.79399,0.9786927,1.371129,1.817794,2.483401,2.906366,2.847471,3.362356,4.061365,4.266138,4.238081,4.369258,6.126711,6.788697,6.758733,6.858615,6.32468,6.387153,6.108544,100
100b_0p_c2_b1_c,6.941105,7.419891,8.207607,9.314315,10.18329,10.13361,12.51286,14.09307,16.31734,17.16809,17.68672,29.20711,47.66829,48.24354,48.82774,48.56164,48.28166,46.98087,1.027444,1.475169,1.898559,2.504556,2.946012,2.927876,3.522782,4.209969,4.433296,4.393536,4.521215,6.528201,7.247968,7.119974,7.049292,6.196321,6.199333,5.721764,100
100b_0p_c2_b1_d,6.892853,7.369154,8.233177,9.474,10.73509,10.76264,13.4369,15.44257,18.19443,19.28058,19.89053,31.97946,51.82063,52.49645,53.12056,52.22633,51.87345,49.9258,0.9076387,1.409521,1.905885,2.606781,2.994153,2.913427,3.285691,3.934245,4.074425,4.026222,4.133885,5.691696,6.200838,6.209763,6.351568,5.876978,5.948922,5.670311,100
100b_0p_c2_b1_e,6.709374,7.164559,7.984364,9.182343,10.40726,10.42743,13.04883,14.91818,17.48851,18.46217,19.04032,30.70401,50.17372,50.8434,51.46078,50.80337,50.47075,48.75485,1.074565,1.524467,1.969658,2.613729,3.083753,3.050279,3.643891,4.363208,4.628295,4.660593,4.820765,6.803565,7.737968,7.721875,7.837131,7.202225,7.248752,6.869579,100
