Sample_ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,Group Label
0b_100p_c1_b1_a,9.520983,13.41939,16.9232,21.91348,24.59427,23.23526,20.02498,29.59604,44.86349,48.77292,50.71467,57.89836,56.38247,54.7878,52.63115,46.55836,44.63249,36.70809,1.784483,2.97263,3.622872,4.264923,4.621716,4.527795,4.153968,5.20661,5.773766,5.856812,5.986234,6.323412,5.921291,5.846635,5.804606,5.155015,5.068807,4.572306,0
0b_100p_c1_b1_b,9.571491,13.51968,17.06516,22.07981,24.87818,23.52978,20.29227,30.21092,45.49906,49.40052,51.37027,58.70865,56.9494,55.33237,53.14495,46.96033,45.02319,37.00033,1.631676,2.679333,3.298011,3.963136,4.315713,4.194537,3.790594,5.035507,6.113332,6.368824,6.574586,7.230554,6.844972,6.734216,6.624452,5.725673,5.579132,4.813121,0
0b_100p_c1_b1_c,9.625064,13.481,17.02525,22.15628,24.834,23.43791,20.32911,29.69278,45.28558,49.24911,51.21899,58.5859,57.01249,55.39595,53.1898,46.93004,44.93716,36.80111,1.69158,2.779505,3.374401,3.986341,4.338601,4.242495,3.90968,4.987007,5.703378,5.882179,6.040992,6.515585,6.239485,6.134764,6.056636,5.297654,5.199481,4.597884,0
0b_100p_c1_b1_d,9.533401,13.50372,17.09191,22.25207,24.93026,23.58721,20.63391,30.05057,45.17712,49.06262,51.02822,58.43596,56.64141,55.03563,52.83639,46.66996,44.72036,36.76976,2.138855,3.541468,4.267394,5.082188,5.387621,5.269547,4.985558,6.149736,7.214603,7.501936,7.7456,8.484388,8.243991,8.073197,7.930126,6.846516,6.712297,5.847807,0
0b_100p_c1_b1_e,9.408472,13.22635,16.82557,22.13988,24.76357,23.36445,20.41132,29.50107,44.95993,48.96153,50.93661,58.3695,56.9761,55.36922,53.17452,46.90316,44.91351,36.81716,1.905807,3.106956,3.731021,4.301525,4.706952,4.61295,4.213569,5.376116,5.989232,6.115736,6.265912,6.721132,6.337658,6.261298,6.166281,5.388748,5.301568,4.722007,0
0b_100p_c2_b1_a,9.75481,13.66684,17.2882,22.51073,25.35263,23.95937,20.76025,30.38326,45.76699,49.64941,51.6034,58.95874,57.21816,55.59696,53.37935,47.11818,45.14886,37.06857,1.988611,3.190055,3.825102,4.489694,4.813611,4.711938,4.348859,5.368439,6.083212,6.250081,6.418394,6.922735,6.641387,6.509632,6.389908,5.50777,5.395353,4.726771,0
0b_100p_c2_b1_b,9.513465,13.49211,17.01473,21.87889,24.85388,23.55061,20.37597,30.77839,45.97473,49.74046,51.70707,58.97211,56.3684,54.72524,52.50855,46.49067,44.56784,36.7365,1.601118,2.645061,3.261614,3.995357,4.399337,4.279819,3.905402,5.268714,6.277992,6.492308,6.68657,7.24542,6.969628,6.849931,6.768446,5.934416,5.842762,5.117598,0
0b_100p_c2_b1_c,9.847762,13.79964,17.27134,21.98694,24.99556,23.69042,20.3545,31.00699,46.22432,49.89303,51.80851,58.82993,56.10308,54.46271,52.25892,46.30543,44.4199,36.65662,2.247914,3.510367,4.169538,4.794279,5.136988,4.999689,4.518192,5.784337,6.784018,7.002111,7.203023,7.748518,7.282399,7.132789,7.004843,6.057874,5.926386,5.099833,0
0b_100p_c2_b1_d,10.03031,13.95722,17.50756,22.51497,25.41678,24.02967,20.68836,30.69268,46.01143,49.76673,51.69449,58.88414,56.72102,55.10317,52.89996,46.80145,44.86696,36.99448,2.330876,3.621192,4.240579,4.821064,5.10058,5.001454,4.606215,5.596709,6.160233,6.276495,6.420684,6.850485,6.518339,6.408075,6.313055,5.539344,5.48372,4.916466,0
0b_100p_c2_b1_e,9.590451,13.09845,16.37725,20.97029,24.06802,22.7562,19.35871,30.00836,45.62662,49.36567,51.29233,58.50614,55.90875,54.26529,52.04163,46.04125,44.13,36.30967,2.007553,3.144769,3.780459,4.421123,4.745589,4.616752,4.155375,5.304514,6.170747,6.336536,6.538214,7.04249,6.628091,6.49406,6.382889,5.538694,5.424364,4.722762,0
100b_0p_c1_b1_a,7.027831,7.87838,9.241783,11.28267,12.5618,11.89929,10.1644,18.35616,29.08462,32.92413,35.85396,51.23718,47.86173,45.82217,43.26853,38.81991,37.62231,32.67052,1.133826,2.021451,2.677012,3.407674,3.751339,3.606297,3.168034,4.567793,5.584227,5.737659,5.936849,6.953383,5.898046,5.753981,5.652946,5.053528,5.008049,4.589845,100
100b_0p_c1_b1_b,7.083203,8.0253,9.482759,11.65696,13.01832,12.33045,10.50749,18.76854,29.21971,32.93881,35.83543,51.20879,48.02971,45.9975,43.46432,39.05238,37.87358,32.98943,1.185857,2.162894,2.892043,3.709423,4.104307,3.941757,3.423455,4.924508,5.855014,5.966385,6.154933,7.031864,5.870888,5.731339,5.64235,5.058551,5.017584,4.631067,100
100b_0p_c1_b1_c,7.111393,8.081946,9.558603,11.74014,13.07122,12.38135,10.56685,18.76341,29.11905,32.86363,35.75764,51.11696,47.92672,45.89029,43.35224,38.93589,37.74429,32.84332,1.139584,2.076193,2.785729,3.597737,3.998166,3.829267,3.277889,4.735724,5.770954,5.88566,6.058196,6.805455,5.759601,5.631644,5.557881,5.017075,4.981709,4.627552,100
