Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08
0b_100p_a_b1_c1,4.505102,7.3221,12.06237,12.9576,10.33342,9.925923,11.61095,18.67581,5.745834,6.076887,3.522136,3.010091,2.1222,2.32884,2.752958,3.834012
0b_100p_b_b1_c1,4.160528,6.750957,11.16897,11.89178,9.898008,9.462845,11.03326,17.64749,5.622538,6.007604,3.450184,3.040915,2.133621,2.384361,2.921372,3.705986
0b_100p_c_b1_c1,4.167223,6.809045,11.92433,12.33225,9.470912,8.981223,10.68326,17.91288,5.624104,6.034461,3.32644,2.807575,1.887144,2.169894,2.630016,3.600283
0b_100p_d_b1_c1,4.451546,7.310021,12.66418,13.23058,10.25804,9.673246,11.45732,18.89041,5.620653,5.987883,3.619862,3.194897,2.198256,2.271063,2.902157,4.151025
0b_100p_e_b1_c1,4.233417,6.90285,11.90341,12.4254,9.778735,9.17193,10.78823,17.74394,5.641036,6.049148,3.439664,3.066377,2.188676,2.31266,2.830666,3.978122
100b_0p_a_b1_c1,2.809738,4.228472,6.150661,5.86604,4.880677,4.451242,4.711923,6.289468,5.023863,5.880589,3.44799,2.679674,1.584822,1.700674,1.984566,2.381834
100b_0p_b_b1_c1,2.196717,3.334651,5.517588,5.387512,4.815132,4.324057,4.376912,5.554513,3.790895,4.280923,2.457481,2.151494,1.462868,1.399356,1.444777,2.20292
100b_0p_c_b1_c1,2.831902,4.179519,5.898332,5.552717,4.737988,4.399681,4.534751,5.708948,5.043449,5.922674,3.520063,2.665362,1.616445,1.85439,2.104736,2.453069
100b_0p_d_b1_c1,2.440747,3.61081,5.922738,5.631663,4.709096,4.230912,4.420929,6.115399,4.333962,4.989653,2.869099,2.373583,1.461031,1.470208,1.609229,2.181595
100b_0p_e_b1_c1,2.907008,4.270681,6.501663,6.028663,4.821875,4.408669,4.652468,6.537227,5.122039,5.981028,3.419175,2.582499,1.37195,1.510013,1.689002,2.042369
20b_80p_a_b1_c1,3.143929,4.773857,7.687327,7.461081,5.857889,5.433516,6.295406,10.73382,5.192755,5.950792,3.504544,2.8562,1.812272,1.887465,2.313879,3.617189
20b_80p_b_b1_c1,3.248689,4.873054,7.728245,7.594743,6.135681,5.831149,6.685695,10.94473,5.115056,5.885467,3.391618,2.728524,1.829879,2.131962,2.479653,3.57247
20b_80p_c_b1_c1,3.115526,5.0529,7.526332,7.419488,6.165759,5.822144,6.561051,10.45579,5.224377,6.023914,3.517982,2.786423,2.04169,2.445847,2.80667,3.330811
20b_80p_d_b1_c1,3.212343,4.996319,8.214931,8.054825,6.366879,5.868146,6.77655,11.20469,5.18414,5.918794,3.429627,2.752959,1.802616,1.850134,2.192251,3.434078
20b_80p_e_b1_c1,3.302732,5.080202,8.232328,8.17909,6.415686,5.976546,6.987024,11.5957,5.267091,5.955133,3.523613,2.900192,1.863384,1.913449,2.373709,3.647688
40b_60p_a_b1_c1,3.104987,4.578277,7.051187,6.878052,5.462815,5.071587,5.628501,8.59782,5.134259,5.912519,3.424148,2.698449,1.66226,1.812865,2.05637,2.851128
40b_60p_b_b1_c1,3.055659,4.424179,7.018398,6.941143,5.713117,5.160988,5.684177,8.550857,5.110149,5.906744,3.368573,2.59938,1.654601,1.700714,1.875654,2.540351
40b_60p_c_b1_c1,3.099611,4.543378,7.302792,6.889131,5.353691,5.030845,5.62056,8.746199,5.269173,6.040471,3.51029,2.841506,1.581446,1.758381,2.050508,2.861093
40b_60p_d_b1_c1,3.136536,4.714325,7.464058,7.162905,5.653408,5.165164,5.767115,9.003069,5.228465,5.98458,3.456411,2.685592,1.643686,1.666974,1.926969,2.744157
40b_60p_e_b1_c1,3.098992,4.488271,7.603428,7.130013,5.294078,4.860412,5.556862,9.250108,5.190628,6.023908,3.501085,2.768237,1.519489,1.484877,1.778916,2.880313
60b_40p_a_b1_c1,3.044043,4.463021,7.106514,6.877423,5.454106,4.910457,5.467791,8.394436,5.04848,5.830857,3.349834,2.619776,1.503069,1.368712,1.632895,2.535193
60b_40p_b_b1_c1,3.00751,4.301886,7.351398,6.753151,4.935972,4.504481,5.080057,8.373158,5.055799,5.87259,3.331025,2.597327,1.312481,1.159586,1.40603,2.575091
60b_40p_c_b1_c1,3.057749,4.617866,7.546351,7.008758,5.296738,4.859563,5.434496,8.728446,5.133737,5.944056,3.337528,2.549039,1.310114,1.299793,1.582024,2.446375
60b_40p_d_b1_c1,3.03956,4.393801,7.418038,6.94636,5.149952,4.666037,5.294149,8.718218,5.101818,5.916653,3.486195,2.747388,1.540686,1.448521,1.706417,2.768546
60b_40p_e_b1_c1,2.982606,4.224044,7.197165,6.858915,5.215457,4.726281,5.376807,8.648884,5.130173,5.953013,3.546279,2.816083,1.631116,1.554452,1.818535,2.7965
80b_20p_a_b1_c1,2.844469,4.052776,6.312917,5.895925,4.755557,4.347424,4.652144,6.515426,5.066383,5.925043,3.44326,2.696311,1.50056,1.502206,1.701647,2.143212
80b_20p_b_b1_c1,2.78624,3.946311,6.021473,5.774207,4.810022,4.353895,4.591885,6.225371,4.993863,5.937557,3.453307,2.62645,1.493806,1.510184,1.71041,2.140429
80b_20p_c_b1_c1,2.799703,3.966756,6.342753,5.900986,4.697277,4.297937,4.660525,6.766367,5.006016,5.871285,3.461215,2.664585,1.380671,1.336727,1.572408,2.196635
80b_20p_d_b1_c1,2.337442,3.50955,6.467067,6.090723,4.805044,4.378748,4.836745,7.451594,3.557554,3.902929,2.208661,1.587054,1.077079,1.111268,1.334138,2.111954
80b_20p_e_b1_c1,2.779539,3.894427,6.129302,5.732863,4.553696,4.112194,4.424708,6.464038,5.019298,5.897952,3.431165,2.598224,1.342737,1.217928,1.401917,2.09081
beef_pork_a_b1_c1,3.310484,4.858041,8.156987,8.14617,6.3374,5.822335,6.552868,10.44229,5.4303,6.238047,4.403093,4.197958,2.736693,2.685839,3.221694,5.719566
0b_100p_c1_b2_a,2.887028,3.962043,6.320938,5.990303,4.800791,4.471704,4.854581,7.086025,4.982184,5.767241,3.276356,2.430155,1.063449,1.037763,1.162402,1.797532
0b_100p_c1_b2_b,2.960049,4.106379,6.10489,5.92813,5.091063,4.671936,4.992427,6.943118,5.061428,5.826389,3.349197,2.474242,1.122171,1.059771,1.201695,1.813981
0b_100p_c1_b2_c,2.866123,3.970256,6.487702,6.177883,4.874033,4.483845,4.940455,7.505062,4.9332,5.70138,3.25666,2.411201,0.9842212,0.9283718,1.088098,1.840451
100b_0p_c1_b2_a,2.883759,4.010455,5.799716,5.431881,4.870596,4.554603,4.573423,4.876192,4.950304,5.803511,3.399224,2.517759,1.20583,1.227431,1.317304,1.457862
100b_0p_c1_b2_b,1.904868,2.824915,5.364881,5.076853,4.69417,4.402242,4.463904,4.8764,3.431657,3.910239,2.270968,1.93697,1.066159,1.028448,1.129718,1.374633
100b_0p_c1_b2_c,2.806224,3.8477,5.611229,5.242306,4.6943,4.376507,4.396662,4.706935,4.8856,5.753568,3.381172,2.485063,1.185438,1.202277,1.27733,1.4553
