Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08
0b_100p_a_b1_c1_raw,7.160357,11.65485,13.05031,12.89951,9.899371,5.266939,6.054938,12.43616,6.458393,6.328138,4.410074,3.675514,3.192111,4.25575,5.080285,5.587257
0b_100p_b_b1_c1_raw,7.218598,11.32517,13.0662,12.82436,10.02608,4.888238,5.724298,12.82509,6.345868,6.075068,4.277581,3.469374,2.845242,2.147941,2.341696,3.466689
0b_100p_c_b1_c1_raw,7.516735,11.63161,13.43097,13.30227,10.36446,5.111422,5.918651,12.98993,6.390769,6.038747,4.32594,3.739177,3.364512,2.434335,2.554195,3.71588
0b_100p_d_b1_c1_raw,7.474771,11.58561,13.91705,13.86505,10.86184,5.23495,6.197229,13.88032,6.4068,6.125045,4.753941,4.288995,3.786102,2.574435,2.902,4.703761
0b_100p_e_b1_c1_raw,7.535139,11.40596,13.8829,13.71606,10.69058,5.108005,5.979292,13.50105,6.353251,6.093569,4.312657,3.612023,3.175849,2.308084,2.531356,3.801459
100b_0p_a_b1_c1_raw,4.84002,8.161232,8.810673,7.839287,5.638303,3.102084,3.418235,7.035158,5.807873,6.023768,4.243943,3.351951,2.564729,1.811417,1.940032,3.39879
100b_0p_b_b1_c1_raw,4.958498,8.008679,8.872536,7.855508,5.596966,2.888067,3.189441,6.965333,5.83459,6.004272,4.14575,3.168123,2.251667,1.569231,1.692674,2.865045
100b_0p_c_b1_c1_raw,4.714738,7.679753,8.507233,7.492953,5.264396,2.735635,3.058998,6.618952,5.740729,6.021676,4.21324,3.293294,2.457983,1.613353,1.771492,3.154572
100b_0p_d_b1_c1_raw,4.675732,7.716556,8.258558,7.336395,5.223661,2.789589,3.065145,6.424962,5.820051,6.114288,4.104814,3.174984,2.290915,1.622647,1.715802,2.684777
100b_0p_e_b1_c1_raw,4.71152,7.691363,8.385747,7.388479,5.148883,2.669137,2.971335,6.542193,5.774916,6.02096,4.109082,3.181414,2.205275,1.528086,1.63168,2.667122
