Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_0h_map_a_b1,10.99812,13.14816,12.68947,11.73403,8.60412,6.093829,6.411751,9.938266,7.786295,6.88413,3.999759,3.473726,2.85062,1.943238,2.095378,3.752098,4.93
0C_0h_map_b_b1,11.48476,13.23468,12.46497,11.43839,8.337607,6.179436,6.495556,9.744242,7.805727,6.782237,3.379958,2.756653,2.200185,1.895702,2.061175,3.052446,4.99
0C_0h_map_c_b1,10.97387,12.78575,12.29369,11.21087,8.257693,5.96104,6.271981,9.622079,7.80311,6.849726,3.8149,3.095931,2.444037,1.853992,2.110096,3.588718,4.85
0C_0h_map_d_b1,10.68437,12.63623,11.85156,10.87365,8.068004,5.933779,6.2067,9.264704,7.6685,6.805393,3.520227,3.004496,2.345848,1.917961,2.132491,3.27983,5.04
10C_0h_map_a_b1,11.56691,13.42098,12.97742,11.92174,8.783738,6.166619,6.463052,9.998642,8.045664,7.007905,4.14819,3.404042,2.836853,2.01468,2.239283,3.871027,4.91
10C_0h_map_b_b1,11.17305,13.15507,12.87721,11.78161,8.674989,6.09866,6.405933,9.819401,7.854985,7.016522,4.135318,3.911116,3.180505,2.073126,2.386127,4.229118,5.24
10C_0h_map_c_b1,11.50204,14.30801,12.9729,11.69856,8.857832,6.37223,6.632082,10.0535,7.799249,6.872931,3.695359,3.169311,2.751314,2.309187,2.416287,3.493976,4.99
10C_0h_map_d_b1,11.52124,13.34376,12.59516,11.51792,8.659856,6.185965,6.408615,9.719651,7.900397,6.964089,3.667498,2.990334,2.497833,1.965763,2.055718,3.083602,5.03
5C_0h_map_a_b1,11.22479,12.93675,13.00546,11.93931,8.590074,6.108164,6.55771,10.39796,7.90298,6.740113,3.889174,3.431097,2.698837,1.92326,2.260103,3.870709,4.86
5C_0h_map_b_b1,10.67398,12.69572,12.23776,11.12359,8.026031,5.964937,6.301745,9.446736,7.689326,6.688725,3.591205,3.079503,2.311275,1.843031,2.000558,3.15824,4.34
5C_0h_map_c_b1,10.99478,13.10297,12.91787,11.83324,8.510153,6.135722,6.507317,10.05953,7.768589,6.64644,3.742523,3.318906,2.601793,1.743993,1.936368,3.396789,4.83
5C_0h_map_d_b1,11.03817,13.2191,12.36995,11.3197,8.316741,6.077652,6.349021,9.471991,7.808575,6.850542,3.581582,2.909209,2.348393,1.94465,2.004126,2.933815,4.87
0C_120h_map_a_b1,11.07578,13.15386,12.51173,11.66633,8.877585,6.16027,6.403379,9.929914,7.280272,6.627982,3.592505,3.290195,2.701273,1.990203,2.18107,3.48867,4.58
0C_120h_map_b_b1,11.25787,13.64841,12.79851,11.43184,8.786002,6.243158,6.530071,10.11947,7.204297,6.597756,3.738889,3.203835,2.803644,2.50139,2.665927,3.871994,4.77
0C_144h_map_a_b1,11.86797,13.55287,12.82229,11.75808,8.912532,6.330538,6.546529,9.864181,7.625854,6.667137,4.205729,3.750256,2.905447,2.456488,2.688094,4.007547,4.72
0C_192h_map_a_b1,11.52346,13.40318,12.76718,11.77743,8.966713,6.102445,6.517574,10.63261,7.413689,6.464706,3.718254,3.740731,3.229302,2.159417,2.303074,3.835068,4.94
0C_192h_map_b_b1,11.5197,13.16804,12.158,11.29952,8.588406,5.92568,6.254904,10.00545,7.331507,6.660914,3.652009,3.539256,2.837678,2.272053,2.436329,3.712119,4.85
0C_216h_map_a_b1,11.81371,13.71854,13.93799,12.83371,9.900999,6.567566,6.924698,11.44794,7.536432,6.838989,4.315055,4.531131,3.923577,2.689278,2.979499,4.984508,5.6
0C_216h_map_b_b1,11.11489,13.43679,12.17268,11.38426,8.806915,6.144679,6.523154,10.33943,7.246445,6.728654,3.523257,2.991593,2.884848,2.447604,2.52025,3.685114,4.6
0C_24h_map_a_b1,11.91165,13.70118,12.12956,11.12967,9.015994,6.402913,6.451188,9.50421,7.883234,6.618506,3.585914,3.018682,2.420811,1.738781,1.858295,3.070029,4.66
0C_24h_map_b_b1,11.98942,13.64484,13.00585,11.96856,9.269114,6.2391,6.473838,10.21701,7.766315,6.710512,4.038497,3.731642,3.102351,1.85042,2.040347,3.663853,4.89
0C_288h_map_a_b1,11.32689,14.39648,13.16939,12.2683,9.572934,6.832687,7.300431,11.5975,7.417266,6.503281,3.524869,3.344421,2.718867,2.310059,2.506133,3.579307,5.04
